WER,Truth,Predicted
1.0,ik uh wil,ik ben
0.0,ah,ah
1.5,mijn uh antwoord,in aantocht
0.5,ah ja ggg,ah ja
inf,uh,
1.0,londonv,londen
1.0,londen,landen
inf,ggg,
inf,mmm,
inf,uh,
1.0,winkels,ween kellis
0.0,ja,ja
1.0,ik uh ja ggg,ik ja
0.3333333432674408,ik vind leuk uh,ik vind leuk
1.5,uh mooie winkelsuh mooie winkels,mooie winkels
1.0,en uhm,en
inf,ggg,
2.0,aha ggg,ah
inf,uhm,
0.5,ik hou uh ja ja,ik ga ja ja
1.0,ik hou uh,ik ga
2.0,uh veel uh,veel
0.5,van uh londen,van londen
inf,uh,
1.0,want uh,want
0.6000000238418579,londen is een mooie stad,londen is en moois dat
1.0,en uhm,en
1.0,veel uh mensen,val mensen
0.6666666865348816,en uh veel winkels,en vele winkels
1.5,en uh veel uh,en vele
2.3333332538604736,veel uh uh toerista ja toeristischf uh,will toerist toeristisch
1.0,beziena,ben zijn
inf,beziena,
inf,ggg,
1.0,ah,ja
inf,uh,
inf,mmm,
2.0,ik ga ggg ja ik ga uh,i ja i
0.5,naar londen voor uh voor uh,naar londen voor voor
1.0,voor uh,voor
0.0,bezoeken,bezoeken
0.3333333432674408,ja voor bezoeken,ja voor bijen
inf,ggg,
inf,uhm,
0.5,de trein tgvn ja ggg,de trein tgv ja
inf,mmm,
0.0,nee,nee
1.0,aha,ah
inf,ggg,
0.75,uh in de groteha ggg,in de grote haar
1.0,huis ggg,huis
inf,mmm,
inf,mmm,
inf,ggg,
1.0,xxx,wie
inf,uhm,
1.0,glutenvrij,gluten vrij
0.0,ja,ja
inf,mmm mmm,
inf,uhu,
0.0,geen ja,geen ja
2.0,aha ggg,ah
inf,ah,
2.0,uh ik heb uh ja,ikeb ja
0.75,ia ggg ik heb geld en uh,ik heb geld en
1.3333333730697632,en uh andersf dingenf uh,en anders dingen
0.6666666865348816,ja anders dingenf ggg,ja anders dingen
1.0,ah,ja
1.0,desv,die
3.0,desv ba ba,die
inf,plan,
1.0,desv plan voor uh voor uh straat nee,de plannen voor voor straat
2.5,jev saisv xxx pasv ouiv,kom dawes
inf,uh ggg,
inf,uhu,
2.0,uh oef,hoef
inf,uh,
0.0,in de,in de
4.0,áv lav xxx uh,maar
0.0,in de grote vakantie,in de grote vakantie
inf,ggg,
0.3333333432674408,ja grote vakantie uh,ja grote vakantie
0.0,ah ja,ah ja
inf,mmm,
inf,uh ah,
3.0,uh lente xxx xxx,lente
0.3333333432674408,uh in de,ah in de
inf,uhm,
0.5,toen uh de zon schijntf,toen de zon scijnt
1.5,jaiv oubliev ggg lav saisonv oh,je olie la seizon
inf,uh ah,
0.5714285969734192,ah ja zomer ja ja ggg in de zomer ggg,ja ja ja ja in de zomer
inf,uhm,
inf,mmm,
0.5,het is uh,het is
0.5,een mooie,en mooie
0.5,ja een mooi weer,ja en mooi war
1.0,en uhm,en
inf,uhm,
0.5,ik kan uh,ik kan
1.0,ik uhm ggg wandelen uh,ik kan wandelen
0.5,buiten en uhm,buiten en
1.0,en uh,en
0.5,want de zonneu schijntf,want de zon scijnt
0.6666666865348816,en uh ik kan uh,en ik kan
2.0,uh veel uh,veel
0.6666666865348816,plekjes ja,plek is ja
1.0,bezoeken,bij zoeken
0.0,ja,ja
inf,uhu,
0.5,uh de camera,de camera
inf,ggg,
0.25,ja ik neem de camera,ik neem de camera
inf,ja,
1.0,ggg,tini
inf,uh,
0.3333333432674408,ja ik heb uh,ja ik heb
1.0,een uh cartev,een kaart
1.0,een visakartijdu,en visa kaart het
1.0,bancontact,ban contact
0.6666666865348816,en uh ik kan uh,en ik kan
inf,uh,
inf,ggg,
0.5,ik kan uh,ik kan
1.0,geld halen uh prendsv dargentv,geld halen dag
1.0,ja ggg,ja
inf,uhu,
1.0,ja uh,ja
