WER,Truth,Predicted
0.0,naar het pretpark,naar het pretpark
0.5,snelle attracties,snelle tracties
inf,uh uh,
0.6666666865348816,een heel groot,en heel goed
0.0,een heel groot attractie ding,een heel groot attractie ding
0.0,de auto,de auto
0.4000000059604645,in één keer doorreizen,in één keer door reizen
0.0,pannenkoekenhuis,pannenkoekenhuis
0.0,het pannenkoekenhuis,het pannenkoekenhuis
0.0,groente,groente
0.0,s middags,s middags
0.0,nee,nee
0.0,met de kaart,met de kaart
0.0,de kaart,de kaart
0.0,zomer,zomer
0.0,warm,warm
1.0,zon,zoom
0.0,nee,nee
0.0,nee want,nee want
0.0,er valt geen regen,er valt geen regen
0.0,nee,nee
0.0,nee,nee
0.0,nee,nee
0.0,nee,nee
2.0,fotos toestel,fototoestel
0.4000000059604645,me vader en me moeder,mijn vader en mijn moeder
0.0,me suikertante,me suikertante
0.0,met een kaart,met een kaart
1.0,uh ja,ja
0.0,naar een vriendje,naar een vriendje
0.0,die is aardig,die is aardig
0.0,hij is aardig,hij is aardig
0.0,hobby thuis,hobby thuis
1.0,bouwen,bel
0.0,zeven jaar,zeven jaar
1.0,knutselen,knucchelo
0.20000000298023224,naar het feestje van bram,na het feestje van bram
1.0,een strand feestje,een strandfeestje
inf,uhm,
0.0,slingers,slingers
1.0,lego,la hou
0.0,pannenkoeken,pannenkoeken
0.0,moeder en vader,moeder en vader
inf,uh,
0.0,dat het lekker is,dat het lekker is
